Device: cuda, seed: 42

=== Experiment: Alzheimer (OASIS-1 MRI slices), HC vs AD ===
  epoch 30: train_loss=0.5501 val_acc=0.7188
  epoch 31: train_loss=0.5544 val_acc=0.8438
  epoch 32: train_loss=0.5404 val_acc=0.8125
  epoch 33: train_loss=0.5229 val_acc=0.8750
  epoch 34: train_loss=0.5128 val_acc=0.8438
  epoch 35: train_loss=0.5112 val_acc=0.8750
  epoch 36: train_loss=0.4961 val_acc=0.8438
  epoch 37: train_loss=0.4925 val_acc=0.8750
  epoch 38: train_loss=0.4900 val_acc=0.8438
  epoch 39: train_loss=0.4788 val_acc=0.8750
  saved checkpoint -> /workspace/camfn_multimodal_system/experiments/checkpoints/pd_voice.pt
  -- fold 1: n_train=126 n_val=32 n_test=37
  epoch 0: train_loss=0.7203 val_acc=0.7188
  epoch 1: train_loss=0.6171 val_acc=0.7188
  epoch 2: train_loss=0.5918 val_acc=0.7188
  epoch 3: train_loss=0.5840 val_acc=0.7188
  epoch 4: train_loss=0.5781 val_acc=0.7188
  epoch 5: train_loss=0.5727 val_acc=0.7188
  epoch 6: train_loss=0.5695 val_acc=0.7188
  epoch 7: train_loss=0.5832 val_acc=0.7188
  epoch 8: train_loss=0.5737 val_acc=0.7188
  epoch 9: train_loss=0.5832 val_acc=0.7188
  epoch 10: train_loss=0.5830 val_acc=0.7188
  epoch 11: train_loss=0.5995 val_acc=0.7188
  epoch 12: train_loss=0.5814 val_acc=0.7188
  epoch 13: train_loss=0.5626 val_acc=0.7188
  epoch 14: train_loss=0.5596 val_acc=0.7188
  epoch 15: train_loss=0.5955 val_acc=0.7188
  epoch 16: train_loss=0.5477 val_acc=0.7188
  epoch 17: train_loss=0.5594 val_acc=0.7188
  epoch 18: train_loss=0.5319 val_acc=0.8750
  epoch 19: train_loss=0.5231 val_acc=0.7188
  epoch 20: train_loss=0.5220 val_acc=0.7812
  epoch 21: train_loss=0.5860 val_acc=0.7188
  epoch 22: train_loss=0.5697 val_acc=0.7188
  epoch 23: train_loss=0.5769 val_acc=0.7188
  epoch 24: train_loss=0.5715 val_acc=0.7188
  epoch 25: train_loss=0.5666 val_acc=0.7812
  epoch 26: train_loss=0.5378 val_acc=0.8125
  epoch 27: train_loss=0.5019 val_acc=0.8750
  epoch 28: train_loss=0.5068 val_acc=0.8750
  epoch 29: train_loss=0.5115 val_acc=0.8438
  epoch 30: train_loss=0.5303 val_acc=0.8438
  epoch 31: train_loss=0.5514 val_acc=0.7188
  epoch 32: train_loss=0.5693 val_acc=0.7188
  epoch 33: train_loss=0.5491 val_acc=0.7188
  epoch 34: train_loss=0.5448 val_acc=0.7188
  epoch 35: train_loss=0.5142 val_acc=0.7500
  epoch 36: train_loss=0.5592 val_acc=0.8750
  epoch 37: train_loss=0.6064 val_acc=0.7188
  epoch 38: train_loss=0.5828 val_acc=0.7188
  epoch 39: train_loss=0.5483 val_acc=0.7188
  -- fold 2: n_train=126 n_val=32 n_test=37
  epoch 0: train_loss=0.7016 val_acc=0.7188
  epoch 1: train_loss=0.6108 val_acc=0.7188
  epoch 2: train_loss=0.5897 val_acc=0.7188
  epoch 3: train_loss=0.5797 val_acc=0.7188
  epoch 4: train_loss=0.5866 val_acc=0.7188
  epoch 5: train_loss=0.5859 val_acc=0.7188
  epoch 6: train_loss=0.5742 val_acc=0.7188
  epoch 7: train_loss=0.5613 val_acc=0.7188
  epoch 8: train_loss=0.5857 val_acc=0.7188
  epoch 9: train_loss=0.5790 val_acc=0.7188
  epoch 10: train_loss=0.5743 val_acc=0.7188
  epoch 11: train_loss=0.5865 val_acc=0.7188
  epoch 12: train_loss=0.5842 val_acc=0.7188
  epoch 13: train_loss=0.5683 val_acc=0.7188
  epoch 14: train_loss=0.5628 val_acc=0.7188
  epoch 15: train_loss=0.5879 val_acc=0.7188
  epoch 16: train_loss=0.5546 val_acc=0.7188
  epoch 17: train_loss=0.5740 val_acc=0.7188
  epoch 18: train_loss=0.6080 val_acc=0.7188
  epoch 19: train_loss=0.5655 val_acc=0.7188
  epoch 20: train_loss=0.5616 val_acc=0.7188
  epoch 21: train_loss=0.5581 val_acc=0.7188
  epoch 22: train_loss=0.5595 val_acc=0.7188
  epoch 23: train_loss=0.5571 val_acc=0.7812
  epoch 24: train_loss=0.5613 val_acc=0.7188
  epoch 25: train_loss=0.5721 val_acc=0.8125
  epoch 26: train_loss=0.5723 val_acc=0.7188
  epoch 27: train_loss=0.5714 val_acc=0.7188
  epoch 28: train_loss=0.5651 val_acc=0.7188
  epoch 29: train_loss=0.5527 val_acc=0.7188
  epoch 30: train_loss=0.5620 val_acc=0.7188
  epoch 31: train_loss=0.5520 val_acc=0.8125
  epoch 32: train_loss=0.5872 val_acc=0.7188
  epoch 33: train_loss=0.5906 val_acc=0.7188
  epoch 34: train_loss=0.5978 val_acc=0.7188
  epoch 35: train_loss=0.5824 val_acc=0.7188
  epoch 36: train_loss=0.5868 val_acc=0.7188
  epoch 37: train_loss=0.5823 val_acc=0.7188
  epoch 38: train_loss=0.5880 val_acc=0.7188
  epoch 39: train_loss=0.5685 val_acc=0.7188
  -- fold 3: n_train=122 n_val=31 n_test=42
  epoch 0: train_loss=0.6385 val_acc=0.7742
  epoch 1: train_loss=0.5164 val_acc=0.7742
  epoch 2: train_loss=0.5559 val_acc=0.7742
  epoch 3: train_loss=0.5249 val_acc=0.7742
  epoch 4: train_loss=0.5013 val_acc=0.7742
  epoch 5: train_loss=0.5030 val_acc=0.7742
  epoch 6: train_loss=0.6089 val_acc=0.7742
  epoch 7: train_loss=0.5369 val_acc=0.7742
  epoch 8: train_loss=0.5553 val_acc=0.7742
  epoch 9: train_loss=0.5438 val_acc=0.7742
  epoch 10: train_loss=0.5434 val_acc=0.7742
